Secu Code,Date,Close,Open,High,Low,Adj Close,Volume,,Return,,,,,,,MA(15),RSI,Gain,Loss,Av Gain,Av Loss,EMA(12),EMA(26),MACD,Signal line
1.HK,27/10/2015,107.400002,107.099998,107.900002,106.400002,89.408958,4326515,,,,,,,,,,,,,,,,,,
1.HK,28/10/2015,107.199997,107.699997,108.5,107,89.242455,3324403,,-0.001862244,,,,,,,,,0,0.200005,,,,,,
1.HK,29/10/2015,106.5,106.900002,107.5,106.5,88.659721,3928198,,-0.006529823,,,,,,,,,0,0.699997,,,,,,
1.HK,30/10/2015,106.5,107.199997,107.800003,106.199997,88.659721,4792384,,0,,,,,,,,,0,0,,,,,,
1.HK,2/11/2015,103.699997,105,105.900002,103.300003,86.328773,7057369,,-0.026291108,,,,,,,,,0,2.800003,,,,,,
1.HK,3/11/2015,104.199997,104.699997,105.400002,103.800003,86.744995,3722651,,0.004821601,,,,,,,,,0.5,0,,,,,,
1.HK,4/11/2015,105.800003,104.300003,107,104.300003,88.076996,6185945,,0.015355144,,,,,,,,,1.600006,0,,,,,,
1.HK,5/11/2015,104.800003,105.5,105.900002,104.400002,87.244507,4235506,,-0.009451796,,,,,,,,,0,1,,,,,,
1.HK,6/11/2015,104.099998,103.599998,104.400002,103.599998,86.661751,3538425,,-0.006679437,,,,,,,,,0,0.700005,,,,,,
1.HK,9/11/2015,103.300003,103.699997,104.199997,103,85.995773,4581920,,-0.00768487,,,,,,,,,0,0.799995,,,,,,
1.HK,10/11/2015,101.900002,102.800003,102.900002,101.699997,84.830284,6533306,,-0.013552768,,,,,,,,,0,1.400001,,,,,,
1.HK,11/11/2015,102.099998,101.5,103.599998,101.5,84.996773,3529870,,0.001962669,,,,,,,,,0.199996,0,,,104.7916667,,,
1.HK,12/11/2015,103.900002,102.5,104.5,102.199997,86.495262,4680163,,0.017629814,,,,,,,,,1.800004,0,,,104.6544875,,,
1.HK,13/11/2015,102.300003,102.699997,102.800003,101.699997,85.163292,4256870,,-0.015399413,,,,,,,,,0,1.599999,,,104.2922591,,,
1.HK,16/11/2015,101,100.5,101.300003,100.5,84.081062,5168718,,-0.012707751,,,,,,,104.3133337,28.08220595,0,1.300003,0.292857571,0.750000571,103.7857577,,,
1.HK,17/11/2015,102,103,103.099998,101.699997,84.913536,4849015,,0.00990099,,,,,,,103.9533335,33.11690272,1,0,0.364286143,0.7357145,103.5110257,,,
