SecuCode,date,prc,oprc,high,low,svol,dvol,Adjfac,ret,day_ret,TotalShares,float,totcap,indcode,,MA(15),RSI,Gain,Loss,Av Gain,Av Loss,EMA(12),EMA(26),MACD,Signal line
4,4/1/2000,8.74,8.55,8.75,8.36,657715,5628193.1,4.68817,,0.022222222,83976684,364084172.7,733956218.2,420000,,,,,,,,,,,
4,5/1/2000,9.02,8.75,9.05,8.51,570721,5044000.17,4.68817,0.032036613,0.030857143,83976684,375748196.6,757469689.7,420000,,,,0.28,0,,,,,,
4,6/1/2000,9.4,9,9.47,8.88,3236049,30394529.56,4.68817,0.042128603,0.044444444,83976684,391577943.2,789380829.6,420000,,,,0.38,0,,,,,,
4,7/1/2000,9.87,9.25,9.87,9.23,2130354,20886462.95,4.68817,0.05,0.067027027,83976684,411156840.4,828849871.1,420000,,,,0.47,0,,,,,,
4,10/1/2000,10.36,10.28,10.36,10.01,2462345,25405205.31,4.68817,0.04964539,0.007782101,83976684,431568882.1,869998446.2,420000,,,,0.49,0,,,,,,
4,11/1/2000,10.38,10.5,10.88,10.2,2853209,30315879.55,4.68817,0.001930502,-0.011428571,83976684,432402026.6,871677979.9,420000,,,,0.02,0,,,,,,
4,12/1/2000,9.86,10.3,10.7,9.86,2278311,23054122.57,4.68817,-0.050096339,-0.042718447,83976684,410740268.1,828010104.2,420000,,,,0,0.52,,,,,,
4,13/1/2000,9.7,9.74,9.98,9.41,1014630,9823694.79,4.68817,-0.016227181,-0.004106776,83976684,404075111.6,814573834.8,420000,,,,0,0.16,,,,,,
4,14/1/2000,9.99,9.55,9.99,9.52,935458,9226927.48,4.68817,0.029896907,0.046073298,83976684,416155707.7,838927073.2,420000,,,,0.29,0,,,,,,
4,17/1/2000,10.49,10.08,10.49,10.08,830679,8690820.24,4.68817,0.05005005,0.040674603,83976684,436984321.7,880915415.2,420000,,,,0.5,0,,,,,,
4,18/1/2000,11.01,10.8,11.01,10.8,912733,10039877.11,4.68817,0.04957102,0.019444444,83976684,458646080.3,924583290.8,420000,,,,0.52,0,,,,,,
4,19/1/2000,11.2,11.55,11.56,10.84,5205088,58916196.24,4.68817,0.017257039,-0.03030303,83976684,466560953.6,940538860.8,420000,,,,0.19,0,,,10.00166667,,,
4,20/1/2000,11.76,11.18,11.76,11.18,2008814,23227380.25,4.68817,0.05,0.051878354,83976684,489889001.3,987565803.8,420000,,,,0.56,0,,,10.27217949,,,
4,21/1/2000,12.35,12.35,12.35,12.35,757853,9359484.55,4.68817,0.050170068,0,83976684,514466765.8,1037112047,420000,,,,0.59,0,,,10.59184418,,,
4,24/1/2000,12.97,12.97,12.97,12.8,977861,12675978.17,4.68817,0.050202429,0,83976684,540294247.2,1089177591,420000,,10.47333333,87.83542039,0.62,0,0.350714286,0.048571429,10.95771431,,,
4,25/1/2000,13.62,13.62,13.62,13.08,1102923,14993600.49,4.68817,0.050115652,0,83976684,567371445.4,1143762436,420000,,10.79866667,88.59060403,0.65,0,0.377142857,0.048571429,11.36729672,,,
4,26/1/2000,13.23,14.3,14.3,13,6315960,87001247.79,4.68817,-0.028634361,-0.074825175,83976684,551125126.4,1111011529,420000,,11.07933333,82.07705193,0,0.39,0.35,0.076428571,11.65386646,,,
4,27/1/2000,13.58,13.01,13.89,12.57,6292194,82055373.1,4.68817,0.026455026,0.043812452,83976684,565705156.2,1140403369,420000,,11.358,81.70940171,0.35,0,0.341428571,0.076428571,11.95019469,,,
4,28/1/2000,13.39,13.58,14,13,2148590,29133634.55,4.68817,-0.013991163,-0.013991163,83976684,557790282.9,1124447799,420000,,11.59266667,77.2972973,0,0.19,0.306428571,0.09,12.1717032,,,
4,14/2/2000,13.19,14.06,14.06,13.16,6871459,94808220.78,4.68817,-0.01493652,-0.061877667,83976684,549458837.3,1107652462,420000,,11.78133333,74.52006981,0,0.2,0.305,0.104285714,12.32836425,,,
4,15/2/2000,12.55,13,13.15,12.53,6805219,86142013.3,4.68817,-0.048521607,-0.034615385,83976684,522798211.4,1053907384,420000,,11.926,72.99145299,0,0.64,0.305,0.112857143,12.36246206,,,
4,16/2/2000,13.18,12.3,13.18,11.92,4660104,57608089.44,4.68817,0.050199203,0.071544715,83976684,549042265,1106812695,420000,,12.14733333,77.53164557,0.63,0,0.35,0.101428571,12.48823712,,,
4,17/2/2000,13.2,13.84,13.84,13,5355020,72951344.99,4.68817,0.001517451,-0.046242775,83976684,549875409.6,1108492229,420000,,12.38066667,76.52892562,0.02,0,0.330714286,0.101428571,12.59773911,,,
4,18/2/2000,13.86,13.18,13.86,12.6,3386264,46122631,4.68817,0.05,0.051593323,83976684,577369180.1,1163916840,420000,,12.63866667,77.13365539,0.66,0,0.342142857,0.101428571,12.79193309,,,
4,21/2/2000,14.55,14,14.55,14,2912845,42292569,4.68817,0.04978355,0.039285714,83976684,606112667.4,1221860752,420000,,12.90933333,77.74294671,0.69,0,0.354285714,0.101428571,13.06240492,,,
4,22/2/2000,15.14,15.27,15.28,15,4557220,69517539,4.68817,0.040549828,-0.008513425,83976684,630690431.9,1271406996,420000,,13.18466667,79.0560472,0.59,0,0.382857143,0.101428571,13.38203493,11.79192308,1.590111857,
4,23/2/2000,14.38,15,15.1,14.38,2030305,29523326,4.68817,-0.050198151,-0.041333333,83976684,599030938.6,1207584716,420000,,13.39666667,68.76790831,0,0.76,0.342857143,0.155714286,13.53556802,11.98363248,1.551935542,
4,24/2/2000,13.66,13.66,13.66,13.66,440200,6013132,4.68817,-0.050069541,0,83976684,569037734.5,1147121503,420000,,13.52333333,59.21237693,0,0.72,0.300714286,0.207142857,13.5547114,12.10780785,1.446903552,
4,25/2/2000,12.98,12.98,14.16,12.98,4980397,65886168.62,4.68817,-0.049780381,0,83976684,540710819.4,1090017358,420000,,13.56533333,50.06973501,0,0.68,0.256428571,0.255714286,13.46629426,12.17241468,1.293879587,
4,28/2/2000,13.09,12.61,13.4,12.61,2467200,32008664,4.68817,0.008474576,0.038065028,83976684,545293114.5,1099254794,420000,,13.57333333,46.00301659,0.11,0,0.217857143,0.255714286,13.40840284,12.24038396,1.168018879,
4,29/2/2000,13.55,13.1,13.74,13,1745042,23528679,4.68817,0.035141329,0.034351145,83976684,564455439.4,1137884068,420000,,13.56866667,52.3880597,0.46,0,0.250714286,0.227857143,13.43018702,12.33739256,1.092794462,
4,1/3/2000,13.2,13.55,13.55,13.13,1273483,16863600,4.68817,-0.025830258,-0.025830258,83976684,549875409.6,1108492229,420000,,13.56666667,47.1641791,0,0.35,0.225714286,0.252857143,13.39477363,12.4012894,0.993484227,
4,2/3/2000,13.86,13.18,13.86,12.71,2203976,29481779,4.68817,0.05,0.051593323,83976684,577369180.1,1163916840,420000,,13.58533333,53.27754533,0.66,0,0.272857143,0.239285714,13.46634692,12.50934204,0.957004878,
