SecuCode,date,Norm(close),Norm(open),Norm (high),Norm(low),sol(volume),dvol(volume*price),Adjfac,return,(intra)day return,TotalShares,float,totcap,indcode,,MA(15),RSI,Gain,Loss,Av Gain,Av Loss,EMA(12),EMA(26),MACD,Signal line
1,4/1/2000,1.045142857,1,1.06,0.982857143,8216086,147325356.8,20.4319,,0.045142857,1551847092,19600193798,28383283313,480000,,,,,,,,,,,
1,5/1/2000,1.032,1.048571429,1.077142857,1.028571429,9399315,173475158.8,20.4319,-1.25752%,-0.015803815,1551847092,19353717878,28026358482,480000,,,,0,0.013142857,,,,,,
1,6/1/2000,1.073142857,1.029714286,1.088571429,1.014285714,12022209,221192510.5,20.4319,3.98671%,0.042175361,1551847092,20125294671,29143688388,480000,,,,0.041142857,0,,,,,,
1,7/1/2000,1.116571429,1.085714286,1.129714286,1.08,22934633,443592446.4,20.4319,4.04686%,0.028421053,1551847092,20939736840,30323092178,480000,,,,0.043428571,0,,,,,,
1,10/1/2000,1.150857143,1.130857143,1.170285714,1.129714286,18521078,372294495.7,20.4319,3.07062%,0.0176857,1551847092,21582717501,31254200433,480000,,,,0.034285714,0,,,,,,
1,11/1/2000,1.085714286,1.151428571,1.154285714,1.074285714,12666326,245867487.3,20.4319,-5.66038%,-0.05707196,1551847092,20361054246,29485094748,480000,,,,0,0.065142857,,,,,,
1,12/1/2000,1.042285714,1.085714286,1.097142857,1.036,9175299,169418265.8,20.4319,-4.00000%,-0.04,1551847092,19546612076,28305690958,480000,,,,0,0.043428571,,,,,,
1,13/1/2000,1.036571429,1.04,1.051428571,1.022857143,5005862,90723737.05,20.4319,-0.54825%,-0.003296703,1551847092,19439448633,28150506249,480000,,,,0,0.005714286,,,,,,
1,14/1/2000,1.021714286,1.036571429,1.050857143,1.014285714,5597279,100267786.6,20.4319,-1.43330%,-0.014332966,1551847092,19160823680,27747026005,480000,,,,0,0.014857143,,,,,,
1,17/1/2000,1.033142857,1.022857143,1.034285714,1,3450108,61534197.37,20.4319,1.11857%,0.010055866,1551847092,19375150567,28057395423,480000,,,,0.011428571,0,,,,,,
1,18/1/2000,1.010857143,1.028571429,1.033142857,1.004571429,4656368,82818827.61,20.4319,-2.15708%,-0.017222222,1551847092,18957213137,27452175057,480000,,,,0,0.022285714,,,,,,
1,19/1/2000,1.016571429,1,1.02,1,3781134,67007289.57,20.4319,0.56529%,0.016571429,1551847092,19064376581,27607359767,480000,,,,0.005714286,0,,,1.055380952,,,
1,20/1/2000,1.017714286,1.017142857,1.022857143,1.002857143,5843772,103508667.5,20.4319,0.11242%,0.000561798,1551847092,19085809270,27638396709,480000,,,,0.001142857,0,,,1.049586081,,,
1,21/1/2000,1.026285714,1.017142857,1.043428571,1.009142857,8626246,154067430.9,20.4319,0.84222%,0.008988764,1551847092,19246554435,27871173772,480000,,,,0.008571429,0,,,1.046001409,,,
1,24/1/2000,1,1.023428571,1.025714286,0.982857143,11251690,196243594.7,20.4319,-2.56125%,-0.022892239,1551847092,18753602595,27157324110,480000,,1.047238095,43.29371817,0,0.026285714,0.010408163,0.013632653,1.038924269,,,
1,25/1/2000,1.012571429,1,1.045142857,1,8371897,149259929.8,20.4319,1.25714%,0.012571429,1551847092,18989362170,27498730470,480000,,1.045066667,47.10884354,0.012571429,0,0.011306122,0.012693878,1.034869986,,,
1,26/1/2000,1.008,1.012571429,1.021714286,1,4772385,83862976.12,20.4319,-0.45147%,-0.004514673,1551847092,18903631416,27374582703,480000,,1.043466667,39.1221374,0,0.004571429,0.008367347,0.013020408,1.030736142,,,
1,27/1/2000,1.022285714,1.008571429,1.038285714,1.002857143,7323843,130483907,20.4319,1.41723%,0.013597734,1551847092,19171540024,27762544476,480000,,1.04007619,32.55813953,0.014285714,0,0.006285714,0.013020408,1.029436076,,,
1,28/1/2000,1.058857143,1.028571429,1.061714286,1.009142857,16736658,305519412.2,20.4319,3.57742%,0.029444444,1551847092,19857386062,28755726615,480000,,1.036228571,33.12368973,0.036571429,0,0.00644898,0.013020408,1.033962394,,,
1,14/2/2000,1.164,1.097142857,1.164571429,1.068571429,23370965,460705046.1,20.4319,9.92984%,0.0609375,1551847092,21829193421,31611125264,480000,,1.037104762,62.52285192,0.105142857,0,0.013959184,0.008367347,1.05396818,,,
1,15/2/2000,1.110857143,1.171428571,1.200571429,1.091428571,35073206,703966200.4,20.4319,-4.56554%,-0.051707317,1551847092,20832573397,30167907468,480000,,1.038780952,60.63829787,0,0.053142857,0.013959184,0.009061224,1.062720328,,,
1,16/2/2000,1.076,1.102857143,1.102857143,1.060571429,21539263,404820089.4,20.4319,-3.13786%,-0.024352332,1551847092,20178876392,29221280742,480000,,1.041028571,55.6097561,0,0.034857143,0.013959184,0.011142857,1.064763354,,,
1,17/2/2000,1.074285714,1.076,1.125142857,1.041714286,35884195,677313696.9,20.4319,-0.15932%,-0.001593202,1551847092,20146727359,29174725330,480000,,1.043542857,57.77027027,0,0.001714286,0.013959184,0.010204082,1.066228333,,,
1,18/2/2000,1.052,1.073714286,1.073714286,1.037142857,13929384,255057906,20.4319,-2.07447%,-0.020223523,1551847092,19728789930,28569504964,480000,,1.045561905,52.700491,0,0.022285714,0.013142857,0.011795918,1.064039358,,,
1,21/2/2000,1.080571429,1.052,1.114285714,1.028571429,23791673,446412926,20.4319,2.71592%,0.027159153,1551847092,20264607147,29345428510,480000,,1.04872381,59.80707395,0.028571429,0,0.015183673,0.010204082,1.066582754,,,
1,22/2/2000,1.042857143,1.085714286,1.1,1.04,12488837,232056385,20.4319,-3.49022%,-0.039473684,1551847092,19557328421,28321209429,480000,,1.050857143,53.39233038,0,0.037714286,0.01477551,0.012897959,1.06293266,1.054263736,0.008668924,
1,23/2/2000,1.034285714,1.04,1.061714286,1.028571429,8817604,160031669,20.4319,-0.82192%,-0.005494505,1551847092,19396583255,28088432365,480000,,1.052038095,52.0984081,0,0.008571429,0.014693878,0.013510204,1.058525437,1.052783883,0.005741555,
